行政區名,3碼郵遞區號,中心點經度,中心點緯度,
臺北市中正區,100,121.519883944258,25.0324048718494,
臺北市大同區,103,121.513041719576,25.0634243257872,
臺北市中山區,104,121.538159729839,25.0696991721485,
臺北市松山區,105,121.557587582092,25.059991008007,
臺北市大安區,106,121.543444557916,25.0267701191431,
臺北市萬華區,108,121.497985838523,25.028589903457,
臺北市信義區,110,121.571669734545,25.0306208286138,
臺北市士林區,111,121.550847282213,25.125467041916,
臺北市北投區,112,121.517799209511,25.1480681955048,
臺北市內湖區,114,121.592382757564,25.0837062341818,
臺北市南港區,115,121.609757289042,25.036009337784,
臺北市文山區,116,121.573608239798,24.9885793372573,
基隆市仁愛區,200,121.743420489185,25.1194542071689,
基隆市信義區,201,121.772646023224,25.1257657937986,
基隆市中正區,202,121.778354947183,25.143657542779,
基隆市中山區,203,121.730891300462,25.149863648885,
基隆市安樂區,204,121.7078324693,25.1413952114178,
基隆市暖暖區,205,121.744734395129,25.080970026859,
基隆市七堵區,206,121.683628045816,25.1096202797313,
新北市萬里區,207,121.643930689874,25.1757245657826,
新北市金山區,208,121.605263880264,25.2171459417189,
連江縣南   竿,209,119.931128,26.154321,
連江縣北   竿,210,119.994251,26.225637,
連江縣莒   光,211,119.938877,25.972980,
連江縣東   引,212,120.490300,26.366101,
新北市板橋區,220,121.457967514949,25.0118645337613,
新北市汐止區,221,121.654699151196,25.0733132153259,
新北市深坑區,222,121.620062396071,24.9976750572865,
新北市石碇區,223,121.647227691335,24.947141072615,
新北市瑞芳區,224,121.823201831477,25.0981293015765,
新北市平溪區,226,121.757881661175,25.0260706835976,
新北市雙溪區,227,121.832982249544,24.9969839354837,
新北市貢寮區,228,121.918246603882,25.0248564111362,
新北市新店區,231,121.531656512958,24.9303900802627,
新北市坪林區,232,121.724223031645,24.9109707337004,
新北市烏來區,233,121.541480607189,24.7882429504504,
新北市永和區,234,121.516744959728,25.0081019942885,
新北市中和區,235,121.493674375458,24.9908803864723,
新北市土城區,236,121.445736963877,24.9642510187766,
新北市三峽區,237,121.416309361506,24.8820976616482,
