TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
彌陀鄉,高雄縣,10012170,10012,14573461.2266,高雄縣彌陀鄉,S12-10012170
鹿野鄉,臺東縣,10014050,10014,79749077.2107,臺東縣鹿野鄉,S14-10014050
白沙鄉,澎湖縣,10016030,10016,22939061.2703,澎湖縣白沙鄉,S16-10016030
豐濱鄉,花蓮縣,10015080,10015,157250341.438,花蓮縣豐濱鄉,S15-10015080
和平鄉,臺中縣,10006210,10006,1006123787.5065,臺中縣和平鄉,S06-10006210
新店市,臺北縣,10001060,10001,121161727.8877,臺北縣新店市,S01-10001060
古坑鄉,雲林縣,10009070,10009,166187033.6211,雲林縣古坑鄉,S09-10009070
芳苑鄉,彰化縣,10007230,10007,126717394.1465,彰化縣芳苑鄉,S07-10007230
北斗鎮,彰化縣,10007190,10007,19792487.8383,彰化縣北斗鎮,S07-10007190
西區,嘉義市,10020020,10020,29171367.0876,嘉義市西區,S20-10020020
麟洛鄉,屏東縣,10013070,10013,13902408.5119,屏東縣麟洛鄉,S13-10013070
西區,臺中市,10019040,10019,6374932.2863,臺中市西區,S19-10019040
阿蓮鄉,高雄縣,10012120,10012,35339343.0898,高雄縣阿蓮鄉,S12-10012120
銅鑼鄉,苗栗縣,10005100,10005,78055242.1698,苗栗縣銅鑼鄉,S05-10005100
大雅鄉,臺中縣,10006100,10006,32815509.61,臺中縣大雅鄉,S06-10006100
三重市,臺北縣,10001020,10001,18100589.165,臺北縣三重市,S01-10001020
北屯區,臺中市,10019080,10019,61877043.0793,臺中市北屯區,S19-10019080
東區,臺中市,10019020,10019,6760465.0756,臺中市東區,S19-10019020
中壢市,桃園縣,10003020,10003,76083026.6673,桃園縣中壢市,S03-10003020
新豐鄉,新竹縣,10004060,10004,49887812.4631,新竹縣新豐鄉,S04-10004060
竹山鎮,南投縣,10008040,10008,258598147.7045,南投縣竹山鎮,S08-10008040
高樹鄉,屏東縣,10013110,10013,94227399.0417,屏東縣高樹鄉,S13-10013110
海端鄉,臺東縣,10014120,10014,892992227.8444,臺東縣海端鄉,S14-10014120
綠島鄉,臺東縣,10014110,10014,16291719.7343,臺東縣綠島鄉,S14-10014110
竹崎鄉,嘉義縣,10010140,10010,156827197.231,嘉義縣竹崎鄉,S10-10010140
瑞芳鎮,臺北縣,10001120,10001,71583399.8556,臺北縣瑞芳鎮,S01-10001120
太平市,臺中縣,10006190,10006,120246350.7247,臺中縣太平市,S06-10006190
中埔鄉,嘉義縣,10010130,10010,130132873.5741,嘉義縣中埔鄉,S10-10010130
中山區,臺北市,63000040,63000,13873824.7435,臺北市中山區,S22-63000040
北門鄉,臺南縣,10011170,10011,63433044.8505,臺南縣北門鄉,S11-10011170
壽豐鄉,花蓮縣,10015060,10015,206400018.163,花蓮縣壽豐鄉,S15-10015060
霧臺鄉,屏東縣,10013270,10013,304669387.3924,屏東縣霧臺鄉,S13-10013270
萬華區,臺北市,63000070,63000,7480597.9997,臺北市萬華區,S22-63000070
卓溪鄉,花蓮縣,10015130,10015,1011573506.5663,花蓮縣卓溪鄉,S15-10015130
新埔鎮,新竹縣,10004030,10004,72197072.7063,新竹縣新埔鎮,S04-10004030
東勢鄉,雲林縣,10009140,10009,46459043.1914,雲林縣東勢鄉,S09-10009140
竹東鎮,新竹縣,10004020,10004,53504391.8731,新竹縣竹東鎮,S04-10004020
梅山鄉,嘉義縣,10010150,10010,119490984.603,嘉義縣梅山鄉,S10-10010150
社頭鄉,彰化縣,10007170,10007,35921409.4171,彰化縣社頭鄉,S07-10007170
坪林鄉,臺北縣,10001200,10001,108359283.2564,臺北縣坪林鄉,S01-10001200
學甲鎮,臺南縣,10011130,10011,54493135.3291,臺南縣學甲鎮,S11-10011130
寶山鄉,新竹縣,10004100,10004,64308014.5217,新竹縣寶山鄉,S04-10004100
三芝鄉,臺北縣,10001210,10001,66341407.0094,臺北縣三芝鄉,S01-10001210
萬丹鄉,屏東縣,10013050,10013,59279258.5953,屏東縣萬丹鄉,S13-10013050
竹塘鄉,彰化縣,10007250,10007,41891453.7082,彰化縣竹塘鄉,S07-10007250
湖西鄉,澎湖縣,10016020,10016,34685210.2733,澎湖縣湖西鄉,S16-10016020
烈嶼鄉,金門縣,09020050,09020,15285700,金門縣烈嶼鄉,S24-09020050
埔里鎮,南投縣,10008020,10008,171421586.9385,南投縣埔里鎮,S08-10008020
湖口鄉,新竹縣,10004050,10004,58016982.3049,新竹縣湖口鄉,S04-10004050
番路鄉,嘉義縣,10010160,10010,112395661.813,嘉義縣番路鄉,S10-10010160
達仁鄉,臺東縣,10014150,10014,320554718.414,臺東縣達仁鄉,S14-10014150
鹿谷鄉,南投縣,10008070,10008,142941591.6471,南投縣鹿谷鄉,S08-10008070
大園鄉,桃園縣,10003060,10003,87919290.7978,桃園縣大園鄉,S03-10003060
霧峰鄉,臺中縣,10006180,10006,96021760.1525,臺中縣霧峰鄉,S06-10006180
萬巒鄉,屏東縣,10013120,10013,60835332.2278,屏東縣萬巒鄉,S13-10013120
三灣鄉,苗栗縣,10005160,10005,54196726.6792,苗栗縣三灣鄉,S05-10005160
二水鄉,彰化縣,10007180,10007,35568838.1757,彰化縣二水鄉,S07-10007180
鳥松鄉,高雄縣,10012070,10012,24830508.3359,高雄縣鳥松鄉,S12-10012070
頭屋鄉,苗栗縣,10005120,10005,51572903.2836,苗栗縣頭屋鄉,S05-10005120
烏日鄉,臺中縣,10006150,10006,42267170.2723,臺中縣烏日鄉,S06-10006150
