TOWN,COUNTY,TOWN_ID,COUNTY_ID,AREA,SHOW_NAME,SHOW_ID
蘇澳鎮,宜蘭縣,10002030,10002,86562200.8593,宜蘭縣蘇澳鎮,S02-10002030
牡丹鄉,屏東縣,10013330,10013,173846913.735,屏東縣牡丹鄉,S13-10013330
暖暖區,基隆市,10017030,10017,23013125.4164,基隆市暖暖區,S17-10017030
大埤鄉,雲林縣,10009080,10009,44303047.4334,雲林縣大埤鄉,S09-10009080
元長鄉,雲林縣,10009170,10009,72167691.5018,雲林縣元長鄉,S09-10009170
水林鄉,雲林縣,10009200,10009,72818531.0957,雲林縣水林鄉,S09-10009200
莿桐鄉,雲林縣,10009090,10009,57139849.354,雲林縣莿桐鄉,S09-10009090
褒忠鄉,雲林縣,10009150,10009,35653190.8809,雲林縣褒忠鄉,S09-10009150
蘆洲市,臺北縣,10001140,10001,7733293.8397,臺北縣蘆洲市,S01-10001140
大武鄉,臺東縣,10014100,10014,62590011.2378,臺東縣大武鄉,S14-10014100
太麻里鄉,臺東縣,10014090,10014,102289468.1323,臺東縣太麻里鄉,S14-10014090
成功鎮,臺東縣,10014020,10014,143525876.948,臺東縣成功鎮,S14-10014020
金峰鄉,臺東縣,10014140,10014,387529660.8349,臺東縣金峰鄉,S14-10014140
長濱鄉,臺東縣,10014080,10014,148842372.4879,臺東縣長濱鄉,S14-10014080
內門鄉,高雄縣,10012240,10012,93438297.4489,高雄縣內門鄉,S12-10012240
旗津區,高雄市,64000100,64000,4720894.7314,高雄市旗津區,S23-64000100
鹽埕區,高雄市,64000010,64000,1569703.6768,高雄市鹽埕區,S23-64000010
大社鄉,高雄縣,10012050,10012,25219216.3457,高雄縣大社鄉,S12-10012050
仁武鄉,高雄縣,10012060,10012,37957387.7539,高雄縣仁武鄉,S12-10012060
杉林鄉,高雄縣,10012230,10012,102168054.02,高雄縣杉林鄉,S12-10012230
桃源鄉,高雄縣,10012260,10012,969427892.6621,高雄縣桃源鄉,S12-10012260
鳳山市,高雄縣,10012010,10012,27855307.7813,高雄縣鳳山市,S12-10012010
芎林鄉,新竹縣,10004070,10004,39926097.3118,新竹縣芎林鄉,S04-10004070
峨眉鄉,新竹縣,10004110,10004,46529083.8809,新竹縣峨眉鄉,S04-10004110
橫山鄉,新竹縣,10004080,10004,65136098.0635,新竹縣橫山鄉,S04-10004080
下營鄉,臺南縣,10011080,10011,33526085.6488,臺南縣下營鄉,S11-10011080
六甲鄉,臺南縣,10011090,10011,66808751.2543,臺南縣六甲鄉,S11-10011090
左鎮鄉,臺南縣,10011260,10011,72795252.2007,臺南縣左鎮鄉,S11-10011260
永康市,臺南縣,10011310,10011,40837306.4006,臺南縣永康市,S11-10011310
官田鄉,臺南縣,10011100,10011,72279858.0475,臺南縣官田鄉,S11-10011100
東山鄉,臺南縣,10011060,10011,124114301.4818,臺南縣東山鄉,S11-10011060
將軍鄉,臺南縣,10011160,10011,47083750.384,臺南縣將軍鄉,S11-10011160
新營市,臺南縣,10011010,10011,38602616.6081,臺南縣新營市,S11-10011010
龍崎鄉,臺南縣,10011300,10011,62321720.1045,臺南縣龍崎鄉,S11-10011300
東區,嘉義市,10020010,10020,30492905.7766,嘉義市東區,S20-10020010
太保市,嘉義縣,10010010,10010,66528811.395,嘉義縣太保市,S10-10010010
阿里山鄉,嘉義縣,10010180,10010,468330726.9042,嘉義縣阿里山鄉,S10-10010180
新港鄉,嘉義縣,10010070,10010,66192811.3994,嘉義縣新港鄉,S10-10010070
大村鄉,彰化縣,10007130,10007,30452846.3814,彰化縣大村鄉,S07-10007130
永靖鄉,彰化縣,10007160,10007,20294056.4485,彰化縣永靖鄉,S07-10007160
田尾鄉,彰化縣,10007210,10007,24663980.085,彰化縣田尾鄉,S07-10007210
員林鎮,彰化縣,10007100,10007,39411159.5691,彰化縣員林鎮,S07-10007100
溪湖鎮,彰化縣,10007110,10007,31032118.8911,彰化縣溪湖鎮,S07-10007110
大肚鄉,臺中縣,10006160,10006,38298473.6726,臺中縣大肚鄉,S06-10006160
大里市,臺中縣,10006200,10006,29272350.0955,臺中縣大里市,S06-10006200
外埔鄉,臺中縣,10006130,10006,42086522.5584,臺中縣外埔鄉,S06-10006130
石岡鄉,臺中縣,10006120,10006,17809585.1816,臺中縣石岡鄉,S06-10006120
龍井鄉,臺中縣,10006170,10006,48679668.6407,臺中縣龍井鄉,S06-10006170
土城市,臺北縣,10001130,10001,29890776.8088,臺北縣土城市,S01-10001130
平溪鄉,臺北縣,10001240,10001,71182798.6819,臺北縣平溪鄉,S01-10001240
永和市,臺北縣,10001040,10001,6186150.3729,臺北縣永和市,S01-10001040
板橋市,臺北縣,10001010,10001,21269028.8426,臺北縣板橋市,S01-10001010
金山鄉,臺北縣,10001270,10001,47585094.4862,臺北縣金山鄉,S01-10001270
深坑鄉,臺北縣,10001180,10001,21004867.1049,臺北縣深坑鄉,S01-10001180
萬里鄉,臺北縣,10001280,10001,63111522.2206,臺北縣萬里鄉,S01-10001280
樹林市,臺北縣,10001070,10001,31957877.9467,臺北縣樹林市,S01-10001070
雙溪鄉,臺北縣,10001250,10001,205979266.5056,臺北縣雙溪鄉,S01-10001250
七美鄉,澎湖縣,10016060,10016,7433290.5276,澎湖縣七美鄉,S16-10016060
信義區,基隆市,10017070,10017,10734491.8814,基隆市信義區,S17-10017070
南竿鄉,連江縣,09007010,09007,4734200,連江縣南竿鄉,S25-09007010
新城鄉,花蓮縣,10015040,10015,28827032.8622,花蓮縣新城鄉,S15-10015040
